Time,Source,Destination,Protocol,Length
2019-05-27 07:36:14.727259,192.168.0.13,192.168.0.1,,146
2019-05-27 07:36:14.727804,192.168.0.1,192.168.0.13,,146
2019-05-27 07:36:14.735371,192.168.0.13,192.168.0.23,TCP,843
2019-05-27 07:36:14.736258,192.168.0.13,192.168.0.23,TCP,839
2019-05-27 07:36:14.739095,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:14.739523,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:14.785283,192.168.0.13,192.168.0.23,TCP,875
2019-05-27 07:36:14.808285,192.168.0.13,192.168.0.23,TCP,871
2019-05-27 07:36:14.814664,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:14.815081,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:14.866117,192.168.0.13,192.168.0.23,TCP,903
2019-05-27 07:36:14.867094,192.168.0.13,192.168.0.23,TCP,899
2019-05-27 07:36:14.869948,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:14.873727,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:14.937647,192.168.0.13,192.168.0.23,TCP,951
2019-05-27 07:36:14.938181,192.168.0.13,192.168.0.23,TCP,947
2019-05-27 07:36:14.941196,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:14.941616,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:14.995482,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:14.996437,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:14.996524,192.168.0.13,192.168.0.23,TCP,148
2019-05-27 07:36:14.996599,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:14.999524,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:14.999936,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.001105,192.168.0.13,192.168.0.23,TCP,182
2019-05-27 07:36:15.001520,192.168.0.13,192.168.0.23,TCP,178
2019-05-27 07:36:15.004121,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.006137,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.057213,192.168.0.13,192.168.0.23,TCP,851
2019-05-27 07:36:15.057675,192.168.0.13,192.168.0.23,TCP,847
2019-05-27 07:36:15.062716,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.063132,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.135255,192.168.0.13,192.168.0.23,TCP,819
2019-05-27 07:36:15.255666,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.299131,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.299504,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.300958,192.168.0.13,192.168.0.23,TCP,224
2019-05-27 07:36:15.301452,192.168.0.13,192.168.0.23,TCP,220
2019-05-27 07:36:15.306957,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.307382,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.335677,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.335798,192.168.0.13,192.168.0.23,TCP,144
2019-05-27 07:36:15.336666,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.336787,192.168.0.13,192.168.0.23,TCP,140
2019-05-27 07:36:15.339212,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.339622,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.340740,192.168.0.13,192.168.0.23,TCP,616
2019-05-27 07:36:15.341277,192.168.0.13,192.168.0.23,TCP,612
2019-05-27 07:36:15.344754,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.345167,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.395842,192.168.0.13,192.168.0.23,TCP,847
2019-05-27 07:36:15.396410,192.168.0.13,192.168.0.23,TCP,843
2019-05-27 07:36:15.398587,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.398963,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.457849,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.458047,192.168.0.13,192.168.0.23,TCP,140
2019-05-27 07:36:15.458121,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.458257,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.458629,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.458708,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.458837,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.459145,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.459383,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.459456,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.459570,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.459966,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.460049,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.460446,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.460559,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.461192,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:15.462298,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462383,192.168.0.13,192.168.0.23,TCP,148
2019-05-27 07:36:15.462453,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462524,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462713,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462786,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462860,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.462934,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463008,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463082,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463156,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463229,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463304,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463445,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463520,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.463595,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.466875,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.467252,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.467327,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.467401,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.468464,192.168.0.13,192.168.0.23,TCP,1129
2019-05-27 07:36:15.469025,192.168.0.13,192.168.0.23,TCP,1125
2019-05-27 07:36:15.471787,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.472200,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.535700,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.535827,192.168.0.13,192.168.0.23,TCP,144
2019-05-27 07:36:15.538339,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.538424,192.168.0.13,192.168.0.23,TCP,140
2019-05-27 07:36:15.541150,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.541705,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.543767,192.168.0.13,192.168.0.23,TCP,928
2019-05-27 07:36:15.544324,192.168.0.13,192.168.0.23,TCP,924
2019-05-27 07:36:15.547130,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.547661,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.595804,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.595924,192.168.0.13,192.168.0.23,TCP,123
2019-05-27 07:36:15.596789,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.596908,192.168.0.13,192.168.0.23,TCP,119
2019-05-27 07:36:15.600021,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.600434,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.655474,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:15.655594,192.168.0.13,192.168.0.23,TCP,144
2019-05-27 07:36:15.656769,192.168.0.13,192.168.0.23,TCP,1506
2019-05-27 07:36:15.656889,192.168.0.13,192.168.0.23,TCP,140
2019-05-27 07:36:15.659362,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.660038,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.661283,192.168.0.13,192.168.0.23,TCP,624
2019-05-27 07:36:15.661775,192.168.0.13,192.168.0.23,TCP,620
2019-05-27 07:36:15.664833,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.665247,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.716399,192.168.0.13,192.168.0.23,TCP,1295
2019-05-27 07:36:15.717225,192.168.0.13,192.168.0.23,TCP,1291
2019-05-27 07:36:15.720385,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.721056,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.805181,192.168.0.13,192.168.0.23,TCP,1239
2019-05-27 07:36:15.805727,192.168.0.13,192.168.0.23,TCP,1235
2019-05-27 07:36:15.810239,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.810648,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.855433,192.168.0.13,192.168.0.23,TCP,1283
2019-05-27 07:36:15.858374,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:15.858823,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:15.858972,13.125.144.73,192.168.0.23,TCP,110
2019-05-27 07:36:15.860574,192.168.0.23,13.125.144.73,TCP,110
2019-05-27 07:36:15.985464,192.168.0.13,192.168.0.23,TCP,1502
2019-05-27 07:36:16.114775,192.168.0.13,192.168.0.23,TCP,1195
2019-05-27 07:36:16.114920,192.168.0.13,192.168.0.23,TCP,1498
2019-05-27 07:36:16.118251,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:16.118666,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:16.120602,192.168.0.13,192.168.0.23,TCP,1351
2019-05-27 07:36:16.121176,192.168.0.13,192.168.0.23,TCP,1347
2019-05-27 07:36:16.125906,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:16.126316,192.168.0.23,192.168.0.13,TCP,114
2019-05-27 07:36:16.135750,192.168.0.13,192.168.0.23,TCP,1079
2019-05-27 07:36:16.136263,192.168.0.13,192.168.0.23,TCP,1075
2019-05-27 07:36:16.138975,192.168.0.23,192.168.0.13,TCP,110
2019-05-27 07:36:16.139350,192.168.0.23,192.168.0.13,TCP,114
